Student 1: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'B', 'SPORT': 'A', 'SCI': 'D'}, Average Score=72.20
Student 403: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'C', 'SPORT': 'F', 'SCI': 'D'}, Average Score=66.00
Student 404: Grades={'ENG': 'B', 'MATH': 'D', 'CP': 'A', 'SPORT': 'D', 'SCI': 'B'}, Average Score=69.80
Student 405: Grades={'ENG': 'D', 'MATH': 'C', 'CP': 'A', 'SPORT': 'F', 'SCI': 'A'}, Average Score=67.00
Student 406: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'F', 'SPORT': 'B', 'SCI': 'A'}, Average Score=75.80
Student 407: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'F', 'SPORT': 'B', 'SCI': 'A'}, Average Score=76.20
Student 408: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'A', 'SPORT': 'C', 'SCI': 'C'}, Average Score=78.20
Student 409: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'B', 'SPORT': 'A', 'SCI': 'B'}, Average Score=84.80
Student 410: Grades={'ENG': 'F', 'MATH': 'D', 'CP': 'B', 'SPORT': 'D', 'SCI': 'D'}, Average Score=54.20
Student 411: Grades={'ENG': 'C', 'MATH': 'C', 'CP': 'A', 'SPORT': 'F', 'SCI': 'F'}, Average Score=62.20
Student 412: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'B', 'SPORT': 'A', 'SCI': 'D'}, Average Score=80.20
Student 413: Grades={'ENG': 'F', 'MATH': 'D', 'CP': 'F', 'SPORT': 'D', 'SCI': 'D'}, Average Score=50.40
Student 414: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'D', 'SPORT': 'F', 'SCI': 'D'}, Average Score=61.00
Student 415: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'A', 'SPORT': 'B', 'SCI': 'A'}, Average Score=78.80
Student 416: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'F', 'SPORT': 'C', 'SCI': 'F'}, Average Score=66.00
Student 417: Grades={'ENG': 'B', 'MATH': 'F', 'CP': 'D', 'SPORT': 'D', 'SCI': 'B'}, Average Score=61.00
Student 418: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'A', 'SPORT': 'C', 'SCI': 'D'}, Average Score=68.60
Student 419: Grades={'ENG': 'D', 'MATH': 'C', 'CP': 'A', 'SPORT': 'A', 'SCI': 'F'}, Average Score=63.40
Student 420: Grades={'ENG': 'C', 'MATH': 'F', 'CP': 'A', 'SPORT': 'A', 'SCI': 'A'}, Average Score=72.80
Student 421: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'F', 'SPORT': 'B', 'SCI': 'B'}, Average Score=71.40
Student 422: Grades={'ENG': 'D', 'MATH': 'B', 'CP': 'C', 'SPORT': 'B', 'SCI': 'A'}, Average Score=74.20
Student 423: Grades={'ENG': 'B', 'MATH': 'F', 'CP': 'D', 'SPORT': 'F', 'SCI': 'A'}, Average Score=62.60
Student 424: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'B', 'SPORT': 'F', 'SCI': 'B'}, Average Score=75.00
Student 425: Grades={'ENG': 'B', 'MATH': 'D', 'CP': 'D', 'SPORT': 'C', 'SCI': 'D'}, Average Score=60.20
Student 426: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'A', 'SPORT': 'D', 'SCI': 'B'}, Average Score=73.20
Student 427: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'B', 'SPORT': 'C', 'SCI': 'F'}, Average Score=65.20
Student 428: Grades={'ENG': 'D', 'MATH': 'C', 'CP': 'A', 'SPORT': 'F', 'SCI': 'D'}, Average Score=61.80
Student 429: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'A', 'SPORT': 'D', 'SCI': 'F'}, Average Score=67.40
Student 430: Grades={'ENG': 'F', 'MATH': 'F', 'CP': 'D', 'SPORT': 'C', 'SCI': 'C'}, Average Score=57.00
Student 431: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'D', 'SPORT': 'D', 'SCI': 'B'}, Average Score=77.00
Student 432: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'C', 'SPORT': 'B', 'SCI': 'C'}, Average Score=72.20
Student 433: Grades={'ENG': 'D', 'MATH': 'F', 'CP': 'C', 'SPORT': 'D', 'SCI': 'A'}, Average Score=62.20
Student 434: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'D', 'SPORT': 'C', 'SCI': 'D'}, Average Score=73.60
Student 435: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'B', 'SPORT': 'C', 'SCI': 'A'}, Average Score=80.20
Student 436: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'C', 'SPORT': 'A', 'SCI': 'A'}, Average Score=84.80
Student 437: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'A', 'SPORT': 'A', 'SCI': 'A'}, Average Score=81.60
Student 438: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'A', 'SCI': 'D'}, Average Score=83.00
Student 439: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'A', 'SPORT': 'A', 'SCI': 'A'}, Average Score=76.40
Student 440: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'A', 'SPORT': 'B', 'SCI': 'A'}, Average Score=80.60
Student 441: Grades={'ENG': 'F', 'MATH': 'F', 'CP': 'A', 'SPORT': 'A', 'SCI': 'A'}, Average Score=73.00
Student 442: Grades={'ENG': 'F', 'MATH': 'F', 'CP': 'C', 'SPORT': 'B', 'SCI': 'B'}, Average Score=60.00
Student 443: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'B', 'SPORT': 'C', 'SCI': 'B'}, Average Score=72.40
Student 444: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'A', 'SPORT': 'F', 'SCI': 'C'}, Average Score=70.00
Student 445: Grades={'ENG': 'D', 'MATH': 'F', 'CP': 'A', 'SPORT': 'D', 'SCI': 'F'}, Average Score=55.60
Student 446: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'B', 'SPORT': 'C', 'SCI': 'C'}, Average Score=74.60
Student 447: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'D', 'SPORT': 'A', 'SCI': 'A'}, Average Score=82.80
Student 448: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'B', 'SPORT': 'F', 'SCI': 'A'}, Average Score=68.60
Student 449: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'A', 'SPORT': 'A', 'SCI': 'B'}, Average Score=82.60
Student 450: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'A', 'SPORT': 'D', 'SCI': 'C'}, Average Score=67.60
Student 451: Grades={'ENG': 'F', 'MATH': 'B', 'CP': 'A', 'SPORT': 'F', 'SCI': 'A'}, Average Score=72.60
Student 452: Grades={'ENG': 'D', 'MATH': 'B', 'CP': 'A', 'SPORT': 'A', 'SCI': 'D'}, Average Score=70.40
Student 453: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'C', 'SPORT': 'C', 'SCI': 'B'}, Average Score=74.00
Student 454: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'B', 'SPORT': 'A', 'SCI': 'D'}, Average Score=73.20
Student 455: Grades={'ENG': 'B', 'MATH': 'F', 'CP': 'C', 'SPORT': 'D', 'SCI': 'B'}, Average Score=64.40
Student 456: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'B', 'SPORT': 'D', 'SCI': 'A'}, Average Score=67.40
Student 457: Grades={'ENG': 'C', 'MATH': 'B', 'CP': 'B', 'SPORT': 'A', 'SCI': 'C'}, Average Score=74.40
Student 458: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'A', 'SPORT': 'A', 'SCI': 'C'}, Average Score=83.80
Student 459: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'F', 'SPORT': 'C', 'SCI': 'D'}, Average Score=61.40
Student 460: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'B', 'SPORT': 'D', 'SCI': 'D'}, Average Score=64.00
Student 461: Grades={'ENG': 'F', 'MATH': 'D', 'CP': 'F', 'SPORT': 'A', 'SCI': 'A'}, Average Score=66.80
Student 462: Grades={'ENG': 'C', 'MATH': 'C', 'CP': 'C', 'SPORT': 'A', 'SCI': 'A'}, Average Score=73.00
Student 463: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'D', 'SPORT': 'A', 'SCI': 'B'}, Average Score=69.80
Student 464: Grades={'ENG': 'D', 'MATH': 'C', 'CP': 'B', 'SPORT': 'A', 'SCI': 'B'}, Average Score=71.80
Student 465: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'A', 'SPORT': 'B', 'SCI': 'B'}, Average Score=76.40
Student 466: Grades={'ENG': 'D', 'MATH': 'B', 'CP': 'A', 'SPORT': 'F', 'SCI': 'A'}, Average Score=71.80
Student 467: Grades={'ENG': 'F', 'MATH': 'B', 'CP': 'A', 'SPORT': 'C', 'SCI': 'B'}, Average Score=69.20
Student 468: Grades={'ENG': 'D', 'MATH': 'F', 'CP': 'A', 'SPORT': 'D', 'SCI': 'B'}, Average Score=66.40
Student 469: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'D', 'SPORT': 'C', 'SCI': 'F'}, Average Score=61.60
Student 470: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'A', 'SPORT': 'A', 'SCI': 'D'}, Average Score=71.60
Student 471: Grades={'ENG': 'B', 'MATH': 'C', 'CP': 'C', 'SPORT': 'A', 'SCI': 'C'}, Average Score=69.60
Student 472: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'D', 'SPORT': 'A', 'SCI': 'A'}, Average Score=78.40
Student 473: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'D', 'SPORT': 'D', 'SCI': 'C'}, Average Score=68.40
Student 474: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'C', 'SPORT': 'A', 'SCI': 'A'}, Average Score=80.00
Student 475: Grades={'ENG': 'D', 'MATH': 'B', 'CP': 'A', 'SPORT': 'C', 'SCI': 'C'}, Average Score=70.60
Student 476: Grades={'ENG': 'B', 'MATH': 'C', 'CP': 'B', 'SPORT': 'D', 'SCI': 'A'}, Average Score=70.00
Student 477: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'B', 'SPORT': 'A', 'SCI': 'D'}, Average Score=74.00
Student 478: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'C', 'SPORT': 'C', 'SCI': 'C'}, Average Score=67.20
Student 479: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'A', 'SPORT': 'D', 'SCI': 'F'}, Average Score=71.20
Student 480: Grades={'ENG': 'B', 'MATH': 'D', 'CP': 'B', 'SPORT': 'F', 'SCI': 'F'}, Average Score=62.20
Student 481: Grades={'ENG': 'F', 'MATH': 'B', 'CP': 'C', 'SPORT': 'C', 'SCI': 'A'}, Average Score=65.60
Student 482: Grades={'ENG': 'B', 'MATH': 'C', 'CP': 'F', 'SPORT': 'C', 'SCI': 'C'}, Average Score=64.00
Student 483: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'A', 'SPORT': 'F', 'SCI': 'A'}, Average Score=74.00
Student 484: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'F', 'SPORT': 'C', 'SCI': 'C'}, Average Score=65.00
Student 485: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'C', 'SPORT': 'A', 'SCI': 'F'}, Average Score=76.00
Student 486: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'B', 'SPORT': 'A', 'SCI': 'A'}, Average Score=82.00
Student 487: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'F', 'SPORT': 'A', 'SCI': 'A'}, Average Score=72.80
Student 488: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'F', 'SPORT': 'B', 'SCI': 'D'}, Average Score=71.00
Student 489: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'C', 'SPORT': 'D', 'SCI': 'F'}, Average Score=64.00
Student 490: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'B', 'SPORT': 'B', 'SCI': 'D'}, Average Score=75.00
Student 491: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'A', 'SPORT': 'C', 'SCI': 'D'}, Average Score=71.20
Student 492: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'C', 'SPORT': 'B', 'SCI': 'B'}, Average Score=77.60
Student 493: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'C', 'SPORT': 'D', 'SCI': 'A'}, Average Score=78.60
Student 494: Grades={'ENG': 'B', 'MATH': 'C', 'CP': 'C', 'SPORT': 'A', 'SCI': 'B'}, Average Score=74.00
Student 495: Grades={'ENG': 'C', 'MATH': 'F', 'CP': 'B', 'SPORT': 'B', 'SCI': 'F'}, Average Score=61.40
Student 496: Grades={'ENG': 'B', 'MATH': 'F', 'CP': 'D', 'SPORT': 'D', 'SCI': 'A'}, Average Score=63.80
Student 497: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'C', 'SPORT': 'B', 'SCI': 'D'}, Average Score=74.40
Student 498: Grades={'ENG': 'B', 'MATH': 'F', 'CP': 'B', 'SPORT': 'D', 'SCI': 'F'}, Average Score=59.60
Student 499: Grades={'ENG': 'F', 'MATH': 'B', 'CP': 'A', 'SPORT': 'B', 'SCI': 'A'}, Average Score=74.40
Student 500: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'A', 'SPORT': 'D', 'SCI': 'B'}, Average Score=68.40
Student 501: Grades={'ENG': 'C', 'MATH': 'C', 'CP': 'F', 'SPORT': 'D', 'SCI': 'F'}, Average Score=53.00
Student 502: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'A', 'SPORT': 'C', 'SCI': 'C'}, Average Score=75.20
Student 503: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'B', 'SPORT': 'A', 'SCI': 'A'}, Average Score=80.80
Student 504: Grades={'ENG': 'F', 'MATH': 'C', 'CP': 'A', 'SPORT': 'C', 'SCI': 'B'}, Average Score=69.00
Student 505: Grades={'ENG': 'B', 'MATH': 'B', 'CP': 'D', 'SPORT': 'A', 'SCI': 'F'}, Average Score=65.40
Student 506: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'D', 'SPORT': 'B', 'SCI': 'F'}, Average Score=61.80
Student 507: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'D', 'SPORT': 'B', 'SCI': 'F'}, Average Score=63.00
Student 508: Grades={'ENG': 'B', 'MATH': 'F', 'CP': 'A', 'SPORT': 'D', 'SCI': 'B'}, Average Score=68.40
Student 509: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'A', 'SPORT': 'B', 'SCI': 'A'}, Average Score=80.00
Student 510: Grades={'ENG': 'D', 'MATH': 'F', 'CP': 'C', 'SPORT': 'D', 'SCI': 'D'}, Average Score=53.20
Student 511: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'B', 'SPORT': 'F', 'SCI': 'D'}, Average Score=65.20
Student 512: Grades={'ENG': 'B', 'MATH': 'D', 'CP': 'C', 'SPORT': 'F', 'SCI': 'D'}, Average Score=58.00
Student 513: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'B', 'SPORT': 'A', 'SCI': 'A'}, Average Score=87.60
Student 514: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'A', 'SPORT': 'C', 'SCI': 'B'}, Average Score=76.40
Student 515: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'A', 'SPORT': 'C', 'SCI': 'D'}, Average Score=76.00
Student 516: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'D', 'SPORT': 'B', 'SCI': 'A'}, Average Score=68.80
Student 517: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'D', 'SPORT': 'D', 'SCI': 'A'}, Average Score=72.00
Student 518: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'F', 'SPORT': 'F', 'SCI': 'A'}, Average Score=64.40
Student 519: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'F', 'SPORT': 'D', 'SCI': 'F'}, Average Score=59.00
Student 520: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'A', 'SPORT': 'D', 'SCI': 'B'}, Average Score=81.00
Student 521: Grades={'ENG': 'F', 'MATH': 'B', 'CP': 'B', 'SPORT': 'B', 'SCI': 'A'}, Average Score=72.60
Student 522: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'B', 'SCI': 'B'}, Average Score=80.00
Student 523: Grades={'ENG': 'D', 'MATH': 'F', 'CP': 'F', 'SPORT': 'D', 'SCI': 'A'}, Average Score=56.40
Student 524: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'F', 'SPORT': 'B', 'SCI': 'C'}, Average Score=68.40
Student 525: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'B', 'SPORT': 'C', 'SCI': 'D'}, Average Score=70.60
Student 526: Grades={'ENG': 'B', 'MATH': 'D', 'CP': 'B', 'SPORT': 'A', 'SCI': 'B'}, Average Score=76.20
Student 527: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'D', 'SPORT': 'A', 'SCI': 'C'}, Average Score=68.60
Student 528: Grades={'ENG': 'C', 'MATH': 'B', 'CP': 'F', 'SPORT': 'C', 'SCI': 'A'}, Average Score=67.20
Student 529: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'A', 'SPORT': 'D', 'SCI': 'F'}, Average Score=68.00
Student 530: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'C', 'SPORT': 'A', 'SCI': 'B'}, Average Score=73.20
Student 531: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'A', 'SPORT': 'A', 'SCI': 'A'}, Average Score=80.40
Student 532: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'A', 'SPORT': 'C', 'SCI': 'A'}, Average Score=81.60
Student 533: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'F', 'SPORT': 'C', 'SCI': 'A'}, Average Score=76.60
Student 534: Grades={'ENG': 'D', 'MATH': 'F', 'CP': 'B', 'SPORT': 'D', 'SCI': 'C'}, Average Score=59.60
Student 535: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'C', 'SPORT': 'C', 'SCI': 'B'}, Average Score=72.20
Student 536: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'D', 'SPORT': 'C', 'SCI': 'C'}, Average Score=64.60
Student 537: Grades={'ENG': 'F', 'MATH': 'B', 'CP': 'A', 'SPORT': 'F', 'SCI': 'C'}, Average Score=60.80
Student 538: Grades={'ENG': 'F', 'MATH': 'F', 'CP': 'B', 'SPORT': 'A', 'SCI': 'C'}, Average Score=65.80
Student 539: Grades={'ENG': 'D', 'MATH': 'B', 'CP': 'F', 'SPORT': 'A', 'SCI': 'D'}, Average Score=65.20
Student 540: Grades={'ENG': 'C', 'MATH': 'F', 'CP': 'B', 'SPORT': 'B', 'SCI': 'B'}, Average Score=68.00
Student 541: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'F', 'SPORT': 'F', 'SCI': 'A'}, Average Score=71.00
Student 542: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'F', 'SPORT': 'A', 'SCI': 'F'}, Average Score=70.80
Student 543: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'C', 'SCI': 'B'}, Average Score=81.00
Student 544: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'F', 'SPORT': 'F', 'SCI': 'B'}, Average Score=62.00
Student 545: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'F', 'SPORT': 'A', 'SCI': 'C'}, Average Score=65.20
Student 546: Grades={'ENG': 'F', 'MATH': 'C', 'CP': 'C', 'SPORT': 'B', 'SCI': 'B'}, Average Score=65.20
Student 547: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'B', 'SPORT': 'A', 'SCI': 'D'}, Average Score=70.00
Student 548: Grades={'ENG': 'C', 'MATH': 'C', 'CP': 'C', 'SPORT': 'A', 'SCI': 'C'}, Average Score=69.40
Student 549: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'F', 'SPORT': 'C', 'SCI': 'A'}, Average Score=76.40
Student 550: Grades={'ENG': 'D', 'MATH': 'B', 'CP': 'A', 'SPORT': 'A', 'SCI': 'B'}, Average Score=77.80
Student 551: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'F', 'SPORT': 'F', 'SCI': 'A'}, Average Score=68.00
Student 552: Grades={'ENG': 'B', 'MATH': 'B', 'CP': 'A', 'SPORT': 'F', 'SCI': 'A'}, Average Score=74.80
Student 553: Grades={'ENG': 'D', 'MATH': 'D', 'CP': 'B', 'SPORT': 'A', 'SCI': 'D'}, Average Score=65.00
Student 554: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'A', 'SPORT': 'A', 'SCI': 'A'}, Average Score=84.00
Student 555: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'A', 'SPORT': 'F', 'SCI': 'A'}, Average Score=81.80
Student 556: Grades={'ENG': 'D', 'MATH': 'C', 'CP': 'C', 'SPORT': 'B', 'SCI': 'A'}, Average Score=68.40
Student 557: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'D', 'SPORT': 'F', 'SCI': 'B'}, Average Score=59.40
Student 558: Grades={'ENG': 'D', 'MATH': 'C', 'CP': 'C', 'SPORT': 'F', 'SCI': 'D'}, Average Score=56.40
Student 559: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'A', 'SPORT': 'C', 'SCI': 'B'}, Average Score=76.20
Student 560: Grades={'ENG': 'B', 'MATH': 'D', 'CP': 'B', 'SPORT': 'D', 'SCI': 'D'}, Average Score=63.80
Student 561: Grades={'ENG': 'D', 'MATH': 'D', 'CP': 'B', 'SPORT': 'F', 'SCI': 'B'}, Average Score=61.80
Student 562: Grades={'ENG': 'B', 'MATH': 'C', 'CP': 'A', 'SPORT': 'B', 'SCI': 'D'}, Average Score=72.40
Student 563: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'A', 'SPORT': 'C', 'SCI': 'B'}, Average Score=72.60
Student 564: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'C', 'SPORT': 'C', 'SCI': 'B'}, Average Score=68.60
Student 565: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'C', 'SPORT': 'A', 'SCI': 'A'}, Average Score=79.20
Student 566: Grades={'ENG': 'D', 'MATH': 'D', 'CP': 'D', 'SPORT': 'A', 'SCI': 'A'}, Average Score=65.80
Student 567: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'D', 'SPORT': 'A', 'SCI': 'B'}, Average Score=72.60
Student 568: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'A', 'SPORT': 'A', 'SCI': 'F'}, Average Score=78.60
Student 569: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'B', 'SPORT': 'B', 'SCI': 'A'}, Average Score=74.60
Student 570: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'C', 'SPORT': 'C', 'SCI': 'A'}, Average Score=72.60
Student 571: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'D', 'SPORT': 'A', 'SCI': 'D'}, Average Score=67.40
Student 572: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'D', 'SPORT': 'A', 'SCI': 'C'}, Average Score=76.20
Student 573: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'A', 'SPORT': 'B', 'SCI': 'F'}, Average Score=69.20
Student 574: Grades={'ENG': 'D', 'MATH': 'F', 'CP': 'A', 'SPORT': 'C', 'SCI': 'B'}, Average Score=64.60
Student 575: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'C', 'SPORT': 'D', 'SCI': 'D'}, Average Score=66.20
Student 576: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'C', 'SPORT': 'A', 'SCI': 'A'}, Average Score=80.00
Student 577: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'D', 'SCI': 'F'}, Average Score=75.60
Student 578: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'C', 'SPORT': 'B', 'SCI': 'B'}, Average Score=72.20
Student 579: Grades={'ENG': 'B', 'MATH': 'B', 'CP': 'D', 'SPORT': 'A', 'SCI': 'B'}, Average Score=73.60
Student 580: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'C', 'SPORT': 'A', 'SCI': 'D'}, Average Score=83.20
Student 581: Grades={'ENG': 'F', 'MATH': 'F', 'CP': 'D', 'SPORT': 'C', 'SCI': 'A'}, Average Score=57.20
Student 582: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'B', 'SPORT': 'F', 'SCI': 'D'}, Average Score=68.80
Student 583: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'C', 'SPORT': 'B', 'SCI': 'B'}, Average Score=70.40
Student 584: Grades={'ENG': 'B', 'MATH': 'F', 'CP': 'F', 'SPORT': 'C', 'SCI': 'A'}, Average Score=65.20
Student 585: Grades={'ENG': 'B', 'MATH': 'F', 'CP': 'B', 'SPORT': 'A', 'SCI': 'A'}, Average Score=77.80
Student 586: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'A', 'SPORT': 'A', 'SCI': 'B'}, Average Score=81.60
Student 587: Grades={'ENG': 'D', 'MATH': 'D', 'CP': 'C', 'SPORT': 'A', 'SCI': 'B'}, Average Score=68.40
Student 588: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'C', 'SPORT': 'C', 'SCI': 'D'}, Average Score=64.80
Student 589: Grades={'ENG': 'F', 'MATH': 'D', 'CP': 'A', 'SPORT': 'A', 'SCI': 'A'}, Average Score=72.00
Student 590: Grades={'ENG': 'F', 'MATH': 'F', 'CP': 'A', 'SPORT': 'A', 'SCI': 'D'}, Average Score=64.20
Student 591: Grades={'ENG': 'D', 'MATH': 'F', 'CP': 'D', 'SPORT': 'F', 'SCI': 'F'}, Average Score=47.40
Student 592: Grades={'ENG': 'F', 'MATH': 'F', 'CP': 'B', 'SPORT': 'D', 'SCI': 'F'}, Average Score=51.00
Student 593: Grades={'ENG': 'F', 'MATH': 'B', 'CP': 'B', 'SPORT': 'B', 'SCI': 'F'}, Average Score=61.00
Student 594: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'A', 'SPORT': 'F', 'SCI': 'C'}, Average Score=66.20
Student 595: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'F', 'SPORT': 'C', 'SCI': 'B'}, Average Score=63.00
Student 596: Grades={'ENG': 'D', 'MATH': 'C', 'CP': 'C', 'SPORT': 'A', 'SCI': 'A'}, Average Score=76.00
Student 597: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'B', 'SPORT': 'A', 'SCI': 'A'}, Average Score=80.80
Student 598: Grades={'ENG': 'F', 'MATH': 'D', 'CP': 'C', 'SPORT': 'A', 'SCI': 'B'}, Average Score=65.60
Student 599: Grades={'ENG': 'C', 'MATH': 'F', 'CP': 'A', 'SPORT': 'F', 'SCI': 'B'}, Average Score=63.40
Student 600: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'D', 'SPORT': 'B', 'SCI': 'F'}, Average Score=61.60
Student 601: Grades={'ENG': 'D', 'MATH': 'C', 'CP': 'A', 'SPORT': 'A', 'SCI': 'D'}, Average Score=70.60
Student 602: Grades={'ENG': 'C', 'MATH': 'B', 'CP': 'A', 'SPORT': 'D', 'SCI': 'D'}, Average Score=66.20
Student 603: Grades={'ENG': 'F', 'MATH': 'F', 'CP': 'A', 'SPORT': 'B', 'SCI': 'D'}, Average Score=62.40
